text,split
세계적 현상?? 탄핵도 세계적 현상? 그러면 대통령 왜 있어? 세계대통령 뽑지 ,train
이름은 *단계중,train
생애 첫 올림픽이라 많이 떨렸을텐데 최선을 다해 주어서 고맙습니다  동메달도 무엇보다 값지고 소중한 자리입니다! 앞으로도 계속 응원하겠습니다 ,train
그래서 뭐  일본이 잘 했다는거냐  완전 친일이구만  ,train
남자 맛을 아는 그녀와 여자와 사귄적 없다는 남자의 성격 차이 ㅋㅋ,train
이름 보유국 대한민국 화이팅,train
Nba 현역 중 제일 크다는 이름과 키가 똑같네   와  ,train
명품매장가서 줄서는 청년은 뭐니? 나도 같은 20대청년인데 너무 일반화 억지부분 있는데요?,train
O자로 보이면 왜 안되나? 참 주관적인 의견을 기사로 쓰고 있네   아무리 반일 감정이 있어도 논리는 좀 갖춥시다 ,train
반도도 성인지 예산 35조중 반은 국방비로 쓰고 반은 경제를 위해 썻으면 나라가 더 좋아질텐데 ㅉㅉ,train
국민이 먼저가 아닌가 마음의 빚 나중에 개인적으로 갚아라,train
국제경기수상으로 군면제제도 없애라  21세기에도 실패하면가는 곳이 군대냐? 미친 제도 철폐하라 ,train
사형제부활 청원해주세요,train
국모라고하는것들보니 조선시대 생각에아직도 사로잡혔네 ㅉ그러면서 민주당을 지지한다고? 차라리 이름에게 충성해라,train
대통령 후보를 비롯  정치하겠다고 나온 사람들  경제지식은 좀 갖추고 나왔으면 좋겠어요 ㅜㅜ 세금 자기돈 아니라고 막 뿌리지는 맙시다  ,train
우와   조그만 섬나라가 이런 실력이   피지 워터 먹으면 럭비 잘하나?,train
아랍은 동방의 페르시아세력이 이집트제국를 정복하기 위해 이용했던 이후로 다양한 패권들의 교두보가 되어왔습니다  이들은 지정학적이면서도 기질적 이유로 미국에 의해서만 개혁을 의지하지 못합니다  이글람형제들에 극단주의를 극복하고 자생적인 개혁세력을 키우려면 기독교가 들어가서 용서와 화해를 가르쳐야합니다 ,train
언플만큼 후원 좀 하지 양궁이랑 비교 되는구만 무슨 이름한테 안꿇려,train
Az는 심근염 몇프로냐?,train
히잡 벗고 한국어해라 아니면 비슷한 이슬람권으로 가던지,train
사장 교체해야한다 ,train
땅도 넓은 니네 나라에 충분히 가능한데 왜 동맹국에 떠 넘기냐? 싫다고 대한민국 국민들이 싫다고 하는데 왜 떠넘기냐?,train
안산선수 고생하셨습니다 ,train
이제 이름  이름 뜹니다 ,train
야당 대표가 이름 지키미?,train
저 폭동 조직들 약탈한 물건으로 잘먹고 잘 산다  정치적으로 자리도 잡고 저때 희생당한 시민들과 조직원들을 유공자로 둔갑 시키고 달래겠지,train
열심히 살자 오십넘어서까지 인간말종쓰레기 소리 안들으려면,train
독도 대마도 모주 다 울땅!,train
말은 똑바로 하자  미국이 원하는 건 쿠바의 친미화 혹은 쿠바의 속령복속이지  쿠바계 반정부 이민자  난민들이 미국에 더 유입되어서 괜히 쓸데없이 쿠바 정부와 대립각을 세우는 것이 아님  그리고 피그스만 침공이나 관타나모 관련 이슈 등 껄끄러운 부분이 많아서 냉전때처럼 적극적으로 개입하기엔 현재 미국은 신경쓸 곳이 많아서 손 안대고 싶은거임  국제사회가 미얀마 건드리지 않는거랑 같은 원리지 ,train
국민의힘 제정신인가??? 사악하고 무능하며 비열하고 가장잔인한 민간인불법사찰을 자행하는 내로남불 이름과 더듬어추행당의 정치폭거로 나라에 망조가 들어 반드시 정권교체를 이루어야 하는데  부족한 면은 도와주고 배려하는 마음으로 협치를 하여 반드시 정권교체하는데 힘을 모아야  ,train
멋지다  우리의 이름!!,train
그냥니입으로 먹엇는뎅 진짜 걍먹고싶은거 먹어,train
정말 아름다운 장면이였습니다  감사드립니다 ,train
무슨 오해가 있었겠지  ,train
강력사건 사기사건 음주운전등 모든범죄가 법이 허술하고 형량이 매우낮아서 동종범죄들이 끊이질 않는것입니다 제발 강하게 처벌할수있도록 법개정부탁드립니다,train
베이비붐세대 자녀들이 엄청난 지옥의 경쟁해야만 했고 지금 시점에 출산율이 낮아지는건 피할 수 없음 폐교하고 대학 못간애들은 직업교육시켜서 취업시키는게 훨씬 나음  4년제 대학 안나와도 진로가 정해져있으면 아무상관없는거야  옆나라가 역시 한국 20년 선반영이었네 ,train
식량으로는 쓸수 없을까요?,train
나라지켰군  ,train
IOC는 뭐하는 집단인가? 전세계인을 위한 축제를 열어라!,train
10대 소녀가 참 멋지다!! 경기를 즐기는 자를 이길 수 없다는 걸 이름 선수가 이미 트랙에서 보여주지 않았던가! 이름 선수 화이팅~^^,train
수천개 댓글 국정원 사건은 줄줄이 구속시켜놓고 1억개 댓글 공작한게 겨우 2년이냐 나라 운명을 바꾼 사기꾼들은 역사의 이름으로 엄벌해야 하지 않을까,train
지금도 겨우겨우 버티는 자영업자들이 아주 많은데  인건비 5프로 올리는건 자영업자들 중에 이 간당간당한 수십퍼센트의 사람들에게 손익분기점 5%높여서 폐업하고 세금 내는 중산층에서 정부 지원받는 빈곤층으로 내모는 정책이다  청년들에게 필요한게 최저임금 받는 알바 자리가 아닌데 정부는 고용률도 눈가리고 아웅식으로 노인들 백수들 알바 고용해서 겨우 높여놓은 식으로 통계만 맞추는 경제정책을 펼치고 있다  대한민국 자체가 하나의 웃기는 코메디 판이다  통계가 맘에 안들면 통계청장을 갈아버리는   옛날 폭군들이나 할법한 아전인수식의 정치,train
간첩들이 득실 득실 하고 대장간첩도 눈뜨고 있는데 이런 기사를 쓰면 벌써 천궁의 기밀은 넘어갔다고 봐야되나?,train
이름대통령이여성편력없이깨끗하고성적으로순결하다숨겨진자녀한명도없고혼외자녀한명도없다이름대통령이숨겨둔자녀있다고딸있다는건모두거짓으로밝혀졌다이름대통령은여성문제없이깨끗하고가장양심바르고올바르고도덕적이며평생이름여사와결혼한번하고다른여자한테눈한번안돌리고성적으로문제없이순결했다보수가공격하는혼외자녀나여성편력술집여자요정여자와관계모두거짓이다이름여사외에아무여자한테눈한번안돌리고외도하지않았다역대가장깨끗하고성적으로문제없고양심바르며아무리찾아도여성편력없다아들3명모두이름여사와성관계해서임신해서출산했다아들3명외에다른자녀한명도낳지않았고평생이름여사와잉꼬부부로잘지내왔다,train
작년봄에 마스크 대란이 일어나더니 이젠 검사키트 대란 이구나! 현 싯점은 관망하는것이 아니라 선제적 조치를 즉시 해야할 시간이다  호미로 막을것을 고래로도 막지 못한다  즉각 선제 조치!,train
악마를 보았다 인육먹는 신 인상적이었습니다,train
이해가 되지 않는 사회군요~ 여성 없이 어떻게 사회가 성립되는지? 작게 보면 가족만 보더라도 어머니  누나  동생  아내  딸  모두 여성이 아닌지? 정말 피폐화된 사회군 ,train
다 떠나서 이 사람 대체 뭐지?엄청 영향력있는 사람 같지만 전 교수현 교수 아님,train
그거아냐? 중국은 유교제도를 완전 폐기하고 사회주의로 탈바꿈된 나라야  우리나라 남여평등은 유교사상 기반인데 중국은 그게 없어  더 쉽게 이야기해주면 남여차별이 거의 없는나라중 하나다  여성인권이 굉장히 강하고 가정에서조차 엄마아빠 가사분담이 수십년전부터 평등했던 나라야  저건 남여차별 문제가 아니라 그냥 범죄인거다  또 사상전으로가서 쓸데없이 힘빼지 마라 ,train
의사 정신병자 아니고서야ㄷㄷㄷㄷㄷㄷ 들고 일어나야 됨,train
백신 확보했다고 붙였던 현수막에 대해서 해명하고 사과부터 하세요 ,train
전력효율성 좋은 탈원전하고~태양광 이름의 작품  폭우에 아작난다  ,train
이름당만들거아님 빨리 국민힘으로 입당하라구해라,train
그만하지  언론도  지금 유치한 한국 일본 자존심 싸움할때가 아닌데,train
자신만이 정의라고 샘각하는 집단의 일원  그렇게 느끼는것도 당연하다  공정과 정의 검찰개혁  등등 국민의 입장에서 보면 어이없는 헛소리일뿐이다  왜? 지금껏 살면서 배우고 느낀것과 다르니까 ,train
이번기회에 빡세게 해서 좀 줄입시다  이래저래 장사도 안되는데 2주?한달? 해서 좀 잡아야지  이러다 더 죽어날것같음  정말 지친다  ,train
저것들은 절대 찍어주면 안되변한게 하나도 없어,train
걸복동이 급한가보구나 ,train
변호사라는 사회적 신분을 가지고 이런 발언이라니   뭐가 문제인지 본질적인 파악도 안되는 듯한데 누굴 뵨호하고 다니시는건지 답답합니다  이걸 여비서라는 제도 탓을 하는겁니까? 여자만보면 소유하고자하는 권력형 소유욕이 문제아닌가요?,train
제발 조용히 계세요 그냥 가만히,train
문 가카가 모더나회장과 2천만명분 확보했다,train
미국은 무법지대같다 아직도 인디언 카우보이나오던시절같아,train
이 뉴스보고 기분 상했음  소송간다,train
그래서 빨리준데? 우린그걸 알고싶은데 ,train
이름씨 원픽! 계속 응원합니당,train
2만5천명????,train
환한 웃음이 너무 아름다운청년 앞으료 응원하면서 계속 지켜볼께요 화이팅!!!,train
예쁜 딸이었으면 좋겠다 ㅎㅎㅎ,train
자꾸 숏컷이라는 이유로 여혐 당했다고 말도 안 되게 페미들이 논질을 흐리는데 태권도에서 은메달 딴 이름 선수도 숏컷인데 왜 아무 말이 안 나올까? 숏컷이 문제가 아니라 여기저기 남성혐오 집단인 페미의 흔적이 나오니까 논란이 되는 거 아냐! 숏컷이라서 맞았다는 이수역 사건이 생각나네  그 때도 여혐이라고 국민청원 33만명이나 동참했었지 ,train
상남자시네요 보통 한국인들은 힘있으면 약한사람 괴롭히는데 쓰는데,train
가정폭력 피해자한테 그만합시다  20대은 엄마가 되기에 어렸네요 세상물정도 몰랐을테고요  전남편 하는짓이 완전 ㅇㅇㅊ  힘내세요 이혼잘했어요 마음껏 날아봐요~,train
Ioc도 본받아라 국제기구이면서 평창때는 분쟁지역 표기 빼라해서 뺐는데 도쿄 올림픽의 일본의 독도표기는 왜 제제안하냐  한국정부도 정신차리고 불참의사 표해야지 참여여부는 어떻게 됐는지 기사하나가 안나오고,train
이건 약하다  더 한 문구가 필요하다 독도는 우리 땅  대한민국 영토이다 ,train
소방관이 존경받아야 하는 이유   희생  헌신  ,train
현 국회의원 숫자를 절반 이하로 줄이고 그 돈으로 신 무기 개발등 국방력을 강화 하는데 쓰자,train
이름씨 대단하군  / 죽어서도 광주민국으로 만들어 놓았군  / 이름이 그놈은 광주에서 시장하면 되겠군 ,train
중국에서 정체불명의 폐렴 보고 하다 소리소문 없이 사라진 의료팀이 19년 10월에 이미 언론통제 당한다고 난리쳤더만 무슨 12월 0ㅇ 己하냐?,train
아내이야기 하는건 아내도 미스코리아 출신이라는 말인가?,train
사형집행도 해라,train
하늘이 분노한거네… 하늘이 중국의 미래를 보여준거다…계속 공산국가를 고집했을때의 결과… 피  눈물… ,train
내년에 니 옆에 같이 있을꺼야 그럼 니가 챙겨,train
이거봐! 전국을 *단계 했어야지! 어휴  ,train
난임중 대부분이 정자 탓이라는 증거네~ 예전엔 난임은 다 여자탓으로 칠거지악이라 하고 목숨도 끊었는데,train
이름는 이거 때문에 짠내투어 나간거?,train
연애인들 돈좀번다고 100억 아파트에 명품쓰리퍼끌고 티셔츠150~250만짜리 입고 촬영하고 스포츠카 타고 마약하고 이런 인간들 좀 본받어라,train
코로나는 이름을 살린 은인 이름은 은퇴하고 코로나 화신에 만보 엎드려 절해야 한다,train
다른 기사 보니까 니네 나라 반미도 했다며  미군철수 원했다고 하던데  근데 뭐가 화가나? 미국적을 가졌으면 미국인으로 살아라  엉뚱한 남의 나라에서 반미의식 부르는 인터뷰 하지말고,train
그건 자기 건강 관리지 그걸 회사에서 식단 운동 관리까지 해 줄 순 없지  당신의 자유를 빼앗기고 싶은거?앞으로 우리 회사 임직원들은 무조건 금연 금주입니다  건강한자만 일 할 수 있습니다  ㅋ~,train
ㅋㅋ 이름 버리고 이름으로 갈아탄거냐?,train
일본은 후진국입니까????,train
비닐봉지를 씌운 채 라이터를 갖다 댄 거 아닌데  ,train
정말 정말 멋지시고 감사합니다 내가 다 가슴이  울렁거리고 감동의 눈물이 ! ♡ 앞으로 꽃길이 가득하시길 ??????,train
아이들 금방큰다 저거 잠깐일텐데 나중에 트라우마라도 생길라,train
한국에선 일안하고 각종지원금 받으면서 부동산이나 하는게 최고지 ~ 민주당이 그런나라 만들어줬지 ~~^^,train
역쉬 홍프로 답습니다~,train
나만 모르는건가  난 이름가 누군지도 뭐하는 연예인인지도 모르고 첨봤는데 아이돌이 왜 골목식당 나오는건지 이해가 안가더라  ,train
